annee	continent	code	pays	hommes	hommes_fr	homme_extra	femmes	femmes_fr	femmes_extra
2010	Europe	CHE	Suisse	162	119	43	221	170	51
2010	Europe	ISL	Islandais	2	1	1	2	2	0
2010	Europe	CZE+SVK	Tchécoslovaque	0	0	0	0	0	0
2010	Europe	CZE	Tchèque	7	4	3	44	38	6
2010	Europe	YUG	Yougoslave	60	26	34	83	44	39
2010	Europe	RUS	Russe	111	34	77	945	807	138
2010	Europe	Europe	Autres nationalités d'Europe	539	254	285	865	593	272
2010	Afrique	DZA	Algérien	4039	3205	834	2088	1285	803
2010	Afrique	CMR	Camerounais	418	246	172	611	432	179
2010	Afrique	CAF	Centrafricain	55	42	13	60	43	17
2010	Afrique	COG	Congolais	535	239	296	499	202	297
2010	Afrique	CIV	Ivoirien	346	198	148	423	270	153
2010	Afrique	BEN	Béninois	93	64	29	71	52	19
2010	Afrique	GAB	Gabonais	91	61	30	151	126	25
2010	Afrique	GIN	Guinéen	184	104	80	113	36	77
2010	Afrique	BFA	Burkinabé	46	33	13	51	44	7
2010	Afrique	MDG	Malgache	171	97	74	396	322	74
2010	Afrique	MLI	Malien	192	136	56	105	54	51
2010	Afrique	MAR	Marocain	3494	2760	734	2446	1580	866
2010	Afrique	MRT	Mauritanien	57	43	14	21	9	12
2010	Afrique	NER	Nigérien	45	13	32	30	10	20
2010	Afrique	EGY	Egyptien	191	125	66	32	13	19
2010	Afrique	SEN	Sénégalais	398	290	108	288	181	107
2010	Afrique	TCD	Tchadien	18	12	6	14	5	9
2010	Afrique	TGO	Togolais	80	51	29	82	51	31
2010	Afrique	TUN	Tunisien	1933	1686	247	476	293	183
2010	Afrique	COM	Comorien	106	89	17	100	83	17
2010	Afrique	SOM	Somalien	4	3	1	3	1	2
2010	Afrique	MUS	Mauricien	144	108	36	274	245	29
2010	Afrique	NGA	Nigérian	93	27	66	47	14	33
2010	Afrique	COD	Zaïrois	15	6	9	10	1	9
2010	Amerique	Afrique	Autres nationalités d'Afrique	372	175	197	376	200	176
2010	Amerique	CAN	Canadien	109	88	21	213	190	23
2010	Amerique	USA	Américain	190	159	31	314	276	38
2010	Amerique	HTI	Haïtien	353	150	203	397	193	204
2010	Amerique	MEX	Mexicain	74	67	7	196	191	5
2010	Amerique	ARG	Argentin	48	37	11	78	67	11
2010	Amerique	BRA	Brésilien	190	129	61	608	469	139
2010	Amerique	CHL	Chilien	48	38	10	54	44	10
2010	Amerique	COL	Colombien	87	45	42	203	156	47
2010	Amerique	VEN	Vénézuélien	25	21	4	64	58	6
2010	Amerique	Amerique	Autres nationalités d'Amérique	239	167	72	516	417	99
2010	Asie	ARM	Arménien	112	22	90	126	40	86
2010	Asie	KHM	Cambodgien	80	38	42	114	81	33
2010	Asie	CHN	Chinois	532	93	439	1181	704	477
2010	Asie	IND	Indien	75	51	24	39	26	13
2010	Asie	IRN	Iranien	30	18	12	57	47	10
2010	Asie	ISR	Israëlien	32	21	11	33	27	6
2010	Asie	JPN	Japonais	30	16	14	348	321	27
2010	Asie	LAO	Laotien	24	13	11	83	74	9
2010	Asie	LBN	Libanais	120	75	45	128	101	27
2010	Asie	SYR	Syrien	45	25	20	30	20	10
2010	Asie	TUR	Turc	1061	611	450	551	163	388
2010	Asie	VNM	Vietnamien	69	17	52	211	155	56
2010	Asie	IRQ	Irakien	14	7	7	15	10	5
2010	Asie	PAK	Pakistanais	73	55	18	7	1	6
2010	Asie	Asie	Autres nationalités d'Asie	594	166	428	1178	742	436
2010	Oceanie	AUS	Australien	66	53	13	56	49	7
2010	Oceanie	Oceanie	Autres nationalités d'Océanie	28	21	7	28	22	6
2010	Autres	???	Nationalité étrangère inconnue	2	2	0	5	5	0
2011	Europe	DEU	Allemand	405	300	105	513	401	112
2011	Europe	AUT	Autrichien	16	11	5	33	23	10
2011	Europe	BEL	Belge	577	409	168	564	419	145
2011	Europe	BGR	Bulgare	29	10	19	108	76	32
2011	Europe	CYP	Chypriote	6	2	4	4	2	2
2011	Europe	DNK	Danois	24	19	5	24	19	5
2011	Europe	ESP	Espagnol	324	254	70	305	236	69
2011	Europe	EST	Estonien	2	2	0	8	7	1
2011	Europe	FIN	Finlandais	12	10	2	30	21	9
2011	Europe	GRC	Grec	27	16	11	50	37	13
2011	Europe	HUN	Hongrois	11	7	4	42	35	7
2011	Europe	IRL	Irlandais	71	51	20	63	51	12
2011	Europe	ITA	Italien	545	431	114	340	252	88
2011	Europe	LVA	Letton	1	0	1	25	17	8
2011	Europe	LTU	Lituanien	5	1	4	35	26	9
2011	Europe	LUX	Luxembourgeois	27	24	3	22	17	5
2011	Europe	MLT	Maltais	0	0	0	2	2	0
2011	Europe	NOR	Norvégien	10	4	6	24	18	6
2011	Europe	NLD	Néerlandais	177	111	66	176	93	83
2011	Europe	POL	Polonais	90	48	42	371	302	69
2011	Europe	PRT	Portugais	1224	851	373	782	499	283
2011	Europe	ROU	Roumain	250	69	181	556	369	187
2011	Europe	GBR	Britannique	777	451	326	653	341	312
2011	Europe	SVK	Slovaque	8	7	1	37	29	8
2011	Europe	SVN	Slovène	1	1	0	6	4	2
2011	Europe	SWE	Suédois	23	19	4	44	35	9
2011	Europe	CHE	Suisse	133	103	30	193	149	44
2011	Europe	ISL	Islandais	0	0	0	2	2	0
2011	Europe	MNE	Montenegrin	56	14	42	68	33	35
2011	Europe	CZE	Tchèque	9	5	4	50	35	15
2011	Europe	SRB	Serbe	286	144	142	237	112	125
2011	Europe	RUS	Russe	134	34	100	1036	887	149
